studytime,score
43.10890416,68.11617112
63.27500072,87.21044199
55.61978796,81.91585297
50.95304695,60.14780032
35.46065242,57.24934255
35.45980821,61.86268961
32.03292643,67.05937143
60.31616510,82.20161987
51.03902541,69.67497913
54.78254022,76.24673790
30.72045730,61.11571997
63.94684483,92.97153819
59.13549243,80.81096004
37.43186887,65.28119523
36.36387385,60.77688163
36.41915784,67.81023355
40.64847850,59.09690160
48.36647511,70.58182545
45.11807565,66.49301799
40.19301991,52.50420231
51.41485132,78.92529866
34.88228512,60.45895581
40.22506270,64.28847662
42.82266452,65.22823390
45.96244945,59.23572846
57.48115865,79.86411193
36.98858238,57.94572448
47.99820534,66.37980773
50.73450991,74.51767521
31.62576445,58.02074774
51.26406982,91.47996401
35.96834433,60.96180126
32.27680575,57.56488946
63.21099380,88.93652586
63.79712116,74.82666355
58.29390718,83.91118690
40.66148192,65.20947179
33.41852399,76.46631329
53.94815593,77.80408380
45.40533728,72.35824975
34.27133822,57.42077788
47.33119185,62.71488674
31.20359824,63.46654058
61.82621407,94.02429974
39.05729936,69.29128487
53.18827995,71.23200831
40.90988766,76.22323092
48.20238074,61.80781031
49.13485978,78.74320251
36.46990594,77.64054154
63.93546197,82.40471757
57.12964882,78.31223186
62.88246295,89.96792017
61.31895726,83.42304776
50.92649926,63.61384174
62.26559823,89.04066185
33.09723757,47.90853162
36.85940018,64.33407965
31.58295511,47.38585675
41.38656158,77.92469297
43.60370514,61.69804931
39.49721611,60.87044559
59.00581282,91.41453184
42.48636643,56.88808855
39.83270784,65.63565810
48.99436291,84.35094124
34.93234787,45.56571679
58.07689433,85.36165463
32.60927253,57.94926214
64.54104278,97.24973003
57.02856693,72.83581793
36.95504885,50.08690083
30.19327410,57.38813403
58.54115000,86.77114238
54.74000703,82.21795054
55.51525088,83.83836165
56.99446213,77.25371057
32.59156281,57.70874867
42.54630050,69.14551034
34.05541708,51.74614745
60.20861991,100.00000000
51.81543444,80.78764125
41.58143087,56.20914598
32.22454226,60.69942536
40.88438126,57.17536602
41.38141627,71.81623473
55.53621624,90.35860250
52.31451150,70.98050410
61.05244599,94.86469962
46.52752238,74.48252203
34.18579861,64.18085975
54.96356755,95.63426817
56.62747670,80.32711944
49.64470191,68.57928279
56.98385130,75.56612099
47.28284587,65.48464818
48.29564903,72.50840026
44.96393564,72.18954501
30.88966944,56.19216277
33.77619994,63.77128593
